experiment_name,encoder,fusion,regression_head,segmentation_head,dropout,fusion_channels,batch_size,num_epochs,lr,weight_decay,calorie_weight,seg_weight,use_segmentation,use_augment,mae,mse,mape,best_epoch,experiment_category
exp6_inception_fusion_r18_seg_weight_0.5,resnet18,inception,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,True,False,66.45464324951172,9590.2041015625,10136088576.0,20.0,Other
exp7_late_fusion_weighted_r18_seg_weight_0.4,resnet18,late_weighted,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.4,True,False,69.83863830566406,9632.8330078125,34100754432.0,29.0,Other
exp5_gated_r18_seg_weight_0.3,resnet18,gated,standard,fpn,0.5,512,32,40,0.0001,1e-06,1.0,0.3,True,False,65.80439758300781,9675.208984375,10318255104.0,33.0,Gated Fusion
exp11_resnet18_inception_standard_head,resnet18,inception,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.4,False,False,66.45294952392578,9697.986328125,4735612416.0,18.0,Other
exp13_inception_lr_9e5_fine_tune,resnet18,inception,standard,standard,0.4,512,32,40,9e-05,1e-06,1.0,0.5,False,False,69.47775268554688,9710.89453125,15371520000.0,18.0,Other
exp11_resnet18_inception_light_head,resnet18,inception,light,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.4,False,False,68.75224304199219,9732.892578125,11174460416.0,20.0,Other
exp13_inception_dropout_0.35,resnet18,inception,standard,standard,0.35,512,32,40,0.0001,1e-06,1.0,0.5,False,False,71.93804168701172,9795.384765625,17153614848.0,13.0,Other
exp5_gated_r18_seg_weight_0.4,resnet18,gated,standard,fpn,0.4,512,32,40,0.0001,1e-06,1.0,0.4,True,False,69.3815689086914,9914.34765625,15556704256.0,16.0,Gated Fusion
exp0_baseline_r18_seg_no_aug_seg_weight_0.3,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.3,True,False,68.21385955810547,9983.330078125,15187233792.0,10.0,Baseline
exp4_cross_attn_18_seg_weight_0.3,resnet18,cross_modal_attention,standard,fpn,0.4,512,32,40,0.0001,1e-06,1.0,0.3,True,False,68.59485626220703,10005.41796875,9985865728.0,13.0,Cross Attention
exp16_inception_light_head_optimized,resnet18,inception,light,standard,0.3,512,32,40,0.0001,1e-06,1.0,0.5,False,False,68.58360290527344,10067.0517578125,12057450496.0,26.0,Other
exp0_baseline_r18_no_seg_no_aug,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,False,70.84443664550781,10170.8125,8834727936.0,12.0,Baseline
exp5_gated_r18_seg_weight_0.5,resnet18,gated,standard,fpn,0.4,512,32,40,0.0001,1e-06,1.0,0.5,True,False,70.1633529663086,10334.861328125,18487083008.0,9.0,Gated Fusion
exp3_early_fpn_r18_seg_weight_0.3,early_fusion_resnet18,middle,standard,fpn,0.3,512,32,70,0.0001,1e-07,1.0,0.3,True,False,72.40309143066406,10345.865234375,18355402752.0,12.0,Early FPN
exp7_late_fusion_average_r18_seg_weight_0.4,resnet18,late_average,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.4,True,False,69.68336486816406,10394.3681640625,22002268160.0,24.0,Other
exp9_inception_resnet34_no_seg,resnet34,inception,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,False,67.75916290283203,10601.7578125,6429182976.0,16.0,Other
exp0_baseline_r18_no_seg_aug,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,True,72.81463623046875,11008.6083984375,9930754048.0,16.0,Baseline
exp12_resnet18_inception_onecycle,resnet18,inception,standard,standard,0.4,512,32,40,0.005,1e-06,1.0,0.5,False,False,70.50867462158203,11176.599609375,7877320704.0,39.0,Other
exp0_baseline_r18_seg_aug,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.2,True,True,76.75361633300781,12335.9033203125,5908719104.0,13.0,Baseline
exp10_early_fusion_minimal_head,early_fusion_resnet18,middle,minimal,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.4,False,False,88.7309799194336,17721.65234375,12908175360.0,23.0,Early Fusion
exp0_baseline_r18_no_seg,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,True,97.0107650756836,18826.009765625,22067984384.0,8.0,Baseline
exp11_resnet18_inception_minimal_head,resnet18,inception,minimal,standard,0.3,512,32,40,0.0001,1e-06,1.0,0.4,False,False,162.87442016601562,50281.19921875,251314368.0,39.0,Other
exp8_inception_lr_5e-5_tuning,resnet18,inception,standard,standard,0.4,512,32,40,5e-05,1e-06,1.0,0.5,False,False,236.3184356689453,105230.109375,455021536.0,1.0,Other
